feature,error_type,category,count,share_within_error_type
ProductCD,FN,W,169,0.7477876106194691
ProductCD,FN,C,35,0.15486725663716813
ProductCD,FN,H,10,0.04424778761061947
ProductCD,FN,R,8,0.035398230088495575
ProductCD,FN,S,4,0.017699115044247787
ProductCD,FP,W,480,0.4584527220630373
ProductCD,FP,C,367,0.35052531041069723
ProductCD,FP,R,87,0.0830945558739255
ProductCD,FP,H,72,0.06876790830945559
ProductCD,FP,S,41,0.039159503342884434
ProductCD,TN,W,16997,0.7686428797539908
ProductCD,TN,C,2093,0.09465020576131687
ProductCD,TN,R,1397,0.06317550761995207
ProductCD,TN,H,1218,0.055080721747388414
ProductCD,TN,S,408,0.018450685117351782
ProductCD,TP,C,284,0.46254071661237783
ProductCD,TP,W,206,0.3355048859934853
ProductCD,TP,H,50,0.08143322475570032
ProductCD,TP,R,48,0.0781758957654723
ProductCD,TP,S,26,0.04234527687296417
card4,FN,visa,155,0.6858407079646017
card4,FN,mastercard,63,0.27876106194690264
card4,FN,MISSING,3,0.01327433628318584
card4,FN,discover,3,0.01327433628318584
card4,FN,american express,2,0.008849557522123894
card4,FP,visa,635,0.606494746895893
card4,FP,mastercard,366,0.3495702005730659
card4,FP,discover,33,0.03151862464183381
card4,FP,american express,12,0.011461318051575931
card4,FP,MISSING,1,0.0009551098376313276
card4,TN,visa,14522,0.6567177678288789
card4,TN,mastercard,7003,0.3166915389137611
card4,TN,american express,314,0.014199791977569756
card4,TN,discover,203,0.009180120291231402
card4,TN,MISSING,71,0.0032107809885587664
card4,TP,visa,390,0.6351791530944625
card4,TP,mastercard,203,0.3306188925081433
card4,TP,discover,16,0.026058631921824105
card4,TP,american express,5,0.008143322475570033
card6,FN,debit,166,0.7345132743362832
card6,FN,credit,57,0.252212389380531
card6,FN,MISSING,3,0.01327433628318584
card6,FP,credit,535,0.5109837631327603
card6,FP,debit,511,0.4880611270296084
card6,FP,MISSING,1,0.0009551098376313276
card6,TN,debit,16935,0.7658390991724325
card6,TN,credit,5105,0.23085967530411974
card6,TN,MISSING,71,0.0032107809885587664
card6,TN,charge card,1,4.5222267444489665e-05
card6,TN,debit or credit,1,4.5222267444489665e-05
card6,TP,credit,323,0.5260586319218241
card6,TP,debit,291,0.4739413680781759
DeviceType,FN,MISSING,174,0.7699115044247787
DeviceType,FN,desktop,28,0.12389380530973451
DeviceType,FN,mobile,24,0.10619469026548672
DeviceType,FP,MISSING,545,0.5205348615090736
DeviceType,FP,desktop,270,0.25787965616045844
DeviceType,FP,mobile,232,0.22158548233046801
DeviceType,TN,MISSING,17340,0.7841541174874508
DeviceType,TN,desktop,3016,0.13639035861258084
DeviceType,TN,mobile,1757,0.07945552389996835
DeviceType,TP,MISSING,220,0.3583061889250814
DeviceType,TP,mobile,216,0.3517915309446254
DeviceType,TP,desktop,178,0.2899022801302932
P_emaildomain,FN,gmail.com,81,0.3584070796460177
P_emaildomain,FN,yahoo.com,51,0.22566371681415928
P_emaildomain,FN,MISSING,43,0.1902654867256637
P_emaildomain,FN,hotmail.com,21,0.09292035398230089
P_emaildomain,FN,anonymous.com,9,0.03982300884955752
P_emaildomain,FN,aol.com,6,0.02654867256637168
P_emaildomain,FN,comcast.net,4,0.017699115044247787
P_emaildomain,FN,icloud.com,3,0.01327433628318584
P_emaildomain,FN,att.net,1,0.004424778761061947
P_emaildomain,FN,charter.net,1,0.004424778761061947
P_emaildomain,FP,gmail.com,469,0.4479465138490926
P_emaildomain,FP,MISSING,148,0.1413562559694365
P_emaildomain,FP,hotmail.com,144,0.13753581661891118
P_emaildomain,FP,yahoo.com,111,0.10601719197707736
P_emaildomain,FP,anonymous.com,47,0.044890162368672396
P_emaildomain,FP,aol.com,25,0.02387774594078319
P_emaildomain,FP,outlook.com,17,0.01623686723973257
P_emaildomain,FP,yahoo.com.mx,13,0.012416427889207259
P_emaildomain,FP,comcast.net,10,0.009551098376313277
P_emaildomain,FP,icloud.com,8,0.007640878701050621
P_emaildomain,TN,gmail.com,8325,0.3764753764753765
P_emaildomain,TN,yahoo.com,4003,0.18102473658029214
P_emaildomain,TN,MISSING,3611,0.16329760774205218
P_emaildomain,TN,hotmail.com,1559,0.0705015149459594
P_emaildomain,TN,anonymous.com,1397,0.06317550761995207
P_emaildomain,TN,aol.com,1071,0.04843304843304843
P_emaildomain,TN,comcast.net,318,0.014380681047347714
P_emaildomain,TN,icloud.com,253,0.011441233663455886
P_emaildomain,TN,att.net,165,0.007461674128340795
P_emaildomain,TN,msn.com,159,0.007190340523673857
P_emaildomain,TP,gmail.com,307,0.5
P_emaildomain,TP,hotmail.com,85,0.13843648208469056
P_emaildomain,TP,MISSING,77,0.1254071661237785
P_emaildomain,TP,yahoo.com,56,0.09120521172638436
P_emaildomain,TP,anonymous.com,18,0.029315960912052116
P_emaildomain,TP,aol.com,16,0.026058631921824105
P_emaildomain,TP,outlook.com,15,0.024429967426710098
P_emaildomain,TP,live.com,5,0.008143322475570033
P_emaildomain,TP,mail.com,5,0.008143322475570033
P_emaildomain,TP,comcast.net,4,0.006514657980456026
R_emaildomain,FN,MISSING,173,0.7654867256637168
R_emaildomain,FN,gmail.com,24,0.10619469026548672
R_emaildomain,FN,hotmail.com,14,0.061946902654867256
R_emaildomain,FN,anonymous.com,6,0.02654867256637168
R_emaildomain,FN,yahoo.com,3,0.01327433628318584
R_emaildomain,FN,icloud.com,2,0.008849557522123894
R_emaildomain,FN,outlook.com,2,0.008849557522123894
R_emaildomain,FN,comcast.net,1,0.004424778761061947
R_emaildomain,FN,live.com.mx,1,0.004424778761061947
R_emaildomain,FP,MISSING,510,0.4871060171919771
R_emaildomain,FP,gmail.com,292,0.27889207258834764
R_emaildomain,FP,hotmail.com,121,0.11556829035339064
R_emaildomain,FP,yahoo.com,37,0.03533906399235912
R_emaildomain,FP,anonymous.com,26,0.024832855778414518
R_emaildomain,FP,yahoo.com.mx,13,0.012416427889207259
R_emaildomain,FP,outlook.com,12,0.011461318051575931
R_emaildomain,FP,icloud.com,9,0.008595988538681949
R_emaildomain,FP,live.com.mx,6,0.0057306590257879654
R_emaildomain,FP,me.com,4,0.0038204393505253103
R_emaildomain,TN,MISSING,17559,0.7940577940577941
R_emaildomain,TN,gmail.com,1770,0.08004341337674671
R_emaildomain,TN,hotmail.com,895,0.04047392936281825
R_emaildomain,TN,anonymous.com,773,0.03495681273459051
R_emaildomain,TN,yahoo.com,429,0.019400352733686066
R_emaildomain,TN,aol.com,151,0.0068285623841179395
R_emaildomain,TN,comcast.net,75,0.003391670058336725
R_emaildomain,TN,yahoo.com.mx,58,0.0026228915117804006
R_emaildomain,TN,outlook.com,51,0.002306335639668973
R_emaildomain,TN,icloud.com,48,0.002170668837335504
R_emaildomain,TP,gmail.com,240,0.39087947882736157
R_emaildomain,TP,MISSING,221,0.35993485342019543
R_emaildomain,TP,hotmail.com,81,0.13192182410423453
R_emaildomain,TP,yahoo.com,21,0.03420195439739414
R_emaildomain,TP,outlook.com,13,0.021172638436482084
R_emaildomain,TP,anonymous.com,11,0.017915309446254073
R_emaildomain,TP,icloud.com,5,0.008143322475570033
R_emaildomain,TP,aol.com,4,0.006514657980456026
R_emaildomain,TP,live.com.mx,3,0.004885993485342019
R_emaildomain,TP,outlook.es,3,0.004885993485342019
